network,method,rep,trial,best_so_far
Facebook,RANDOM,optseed2,6,0.0162792057586763
Facebook,RANDOM,optseed2,7,0.0162792057586763
Facebook,RANDOM,optseed2,8,0.0162792057586763
Facebook,RANDOM,optseed2,9,0.0162792057586763
Facebook,RANDOM,optseed2,10,0.0162792057586763
Facebook,RANDOM,optseed2,11,0.0162792057586763
Facebook,RANDOM,optseed2,12,0.0162792057586763
Facebook,RANDOM,optseed2,13,0.0162792057586763
Facebook,RANDOM,optseed2,14,0.0162792057586763
Facebook,RANDOM,optseed2,15,0.0162792057586763
Facebook,RANDOM,optseed2,16,0.0162792057586763
Facebook,RANDOM,optseed2,17,0.0161605496384123
Facebook,RANDOM,optseed2,18,0.0161605496384123
Facebook,RANDOM,optseed2,19,0.0161605496384123
Facebook,RANDOM,optseed2,20,0.0161605496384123
Facebook,RANDOM,optseed2,21,0.0161605496384123
Facebook,RANDOM,optseed2,22,0.0161605496384123
Facebook,RANDOM,optseed2,23,0.0161605496384123
Facebook,RANDOM,optseed2,24,0.0161605496384123
Facebook,RANDOM,optseed2,25,0.0161605496384123
Facebook,RANDOM,optseed2,26,0.0161605496384123
Facebook,RANDOM,optseed2,27,0.0161605496384123
Facebook,RANDOM,optseed2,28,0.0161605496384123
Facebook,RANDOM,optseed2,29,0.0161605496384123
Facebook,RANDOM,optseed2,30,0.0161605496384123
Facebook,RANDOM,optseed2,31,0.0161605496384123
Facebook,RANDOM,optseed2,32,0.0161605496384123
Facebook,RANDOM,optseed2,33,0.0161605496384123
Facebook,RANDOM,optseed2,34,0.0161605496384123
Facebook,RANDOM,optseed2,35,0.0161605496384123
Facebook,RANDOM,optseed2,36,0.0161605496384123
Facebook,RANDOM,optseed2,37,0.0161605496384123
Facebook,RANDOM,optseed2,38,0.0161605496384123
Facebook,RANDOM,optseed2,39,0.0161605496384123
Facebook,RANDOM,optseed2,40,0.0161605496384123
Facebook,RANDOM,optseed2,41,0.0161605496384123
Facebook,RANDOM,optseed2,42,0.0161605496384123
Facebook,RANDOM,optseed2,43,0.0161605496384123
Facebook,RANDOM,optseed2,44,0.0161605496384123
Facebook,RANDOM,optseed2,45,0.0161605496384123
Facebook,RANDOM,optseed2,46,0.0161605496384123
Facebook,RANDOM,optseed2,47,0.0161605496384123
Facebook,RANDOM,optseed2,48,0.0161605496384123
Facebook,RANDOM,optseed2,49,0.0161605496384123
Facebook,RANDOM,optseed2,50,0.0161605496384123
Facebook,RANDOM,optseed2,51,0.0161605496384123
Facebook,RANDOM,optseed2,52,0.0161605496384123
Facebook,RANDOM,optseed2,53,0.0161605496384123
Facebook,RANDOM,optseed2,54,0.0161605496384123
Facebook,RANDOM,optseed2,55,0.0161605496384123
Facebook,RANDOM,optseed2,56,0.0161605496384123
Facebook,RANDOM,optseed2,57,0.0161605496384123
Facebook,RANDOM,optseed2,58,0.0161605496384123
Facebook,RANDOM,optseed2,59,0.0161605496384123
Facebook,RANDOM,optseed2,60,0.0161605496384123
Facebook,RANDOM,optseed2,61,0.0161605496384123
Facebook,RANDOM,optseed2,62,0.0161605496384123
Facebook,RANDOM,optseed2,63,0.0161605496384123
Facebook,RANDOM,optseed2,64,0.0161605496384123
Facebook,RANDOM,optseed2,65,0.0161605496384123
Facebook,RANDOM,optseed2,66,0.0161605496384123
Facebook,RANDOM,optseed2,67,0.0161605496384123
Facebook,RANDOM,optseed2,68,0.0161605496384123
Facebook,RANDOM,optseed2,69,0.0161605496384123
Facebook,RANDOM,optseed2,70,0.0161605496384123
Facebook,RANDOM,optseed2,71,0.0161605496384123
Facebook,RANDOM,optseed2,72,0.0161605496384123
Facebook,RANDOM,optseed2,73,0.0161605496384123
Facebook,RANDOM,optseed2,74,0.0161605496384123
Facebook,RANDOM,optseed2,75,0.0161605496384123
Facebook,RANDOM,optseed2,76,0.0161605496384123
Facebook,RANDOM,optseed2,77,0.0161605496384123
Facebook,RANDOM,optseed2,78,0.0161605496384123
Facebook,RANDOM,optseed2,79,0.0161605496384123
Facebook,RANDOM,optseed2,80,0.0161605496384123
Facebook,RANDOM,optseed2,81,0.0161605496384123
Facebook,RANDOM,optseed2,82,0.0161605496384123
Facebook,RANDOM,optseed2,83,0.0161605496384123
Facebook,RANDOM,optseed2,84,0.0161605496384123
Facebook,RANDOM,optseed2,85,0.0161605496384123
Facebook,RANDOM,optseed2,86,0.0161605496384123
Facebook,RANDOM,optseed2,87,0.0161605496384123
Facebook,RANDOM,optseed2,88,0.0161605496384123
Facebook,RANDOM,optseed2,89,0.0161605496384123
Facebook,RANDOM,optseed2,90,0.0161605496384123
Facebook,RANDOM,optseed2,91,0.0161605496384123
Facebook,RANDOM,optseed2,92,0.0161605496384123
Facebook,RANDOM,optseed2,93,0.0161605496384123
Facebook,RANDOM,optseed2,94,0.0161605496384123
Facebook,RANDOM,optseed2,95,0.0161605496384123
Facebook,RANDOM,optseed2,96,0.0161605496384123
Facebook,RANDOM,optseed2,97,0.0161605496384123
Facebook,RANDOM,optseed2,98,0.0161605496384123
Facebook,RANDOM,optseed2,99,0.0161605496384123
Facebook,RANDOM,optseed3,0,0.0163533254246044
Facebook,RANDOM,optseed3,1,0.0163439670897823
Facebook,RANDOM,optseed3,2,0.0163439670897823
Facebook,RANDOM,optseed3,3,0.0163439670897823
Facebook,RANDOM,optseed3,4,0.0163439670897823
Facebook,RANDOM,optseed3,5,0.0163439670897823
Facebook,RANDOM,optseed3,6,0.0163439670897823
Facebook,RANDOM,optseed3,7,0.0163229046241485
Facebook,RANDOM,optseed3,8,0.0163229046241485
Facebook,RANDOM,optseed3,9,0.0163229046241485
Facebook,RANDOM,optseed3,10,0.0163229046241485
Facebook,RANDOM,optseed3,11,0.0163229046241485
Facebook,RANDOM,optseed3,12,0.0163229046241485
Facebook,RANDOM,optseed3,13,0.0163229046241485
Facebook,RANDOM,optseed3,14,0.0163229046241485
Facebook,RANDOM,optseed3,15,0.0163229046241485
Facebook,RANDOM,optseed3,16,0.0163229046241485
Facebook,RANDOM,optseed3,17,0.0163229046241485
Facebook,RANDOM,optseed3,18,0.0162055660730288
Facebook,RANDOM,optseed3,19,0.0162055660730288
Facebook,RANDOM,optseed3,20,0.0162055660730288
Facebook,RANDOM,optseed3,21,0.0162055660730288
Facebook,RANDOM,optseed3,22,0.0162055660730288
Facebook,RANDOM,optseed3,23,0.0162055660730288
Facebook,RANDOM,optseed3,24,0.0162055660730288
Facebook,RANDOM,optseed3,25,0.0162055660730288
Facebook,RANDOM,optseed3,26,0.0162055660730288
Facebook,RANDOM,optseed3,27,0.0162055660730288
Facebook,RANDOM,optseed3,28,0.0162055660730288
Facebook,RANDOM,optseed3,29,0.0162055660730288
Facebook,RANDOM,optseed3,30,0.0162055660730288
Facebook,RANDOM,optseed3,31,0.0162055660730288
Facebook,RANDOM,optseed3,32,0.0162055660730288
Facebook,RANDOM,optseed3,33,0.0162055660730288
Facebook,RANDOM,optseed3,34,0.0162055660730288
Facebook,RANDOM,optseed3,35,0.0162055660730288
Facebook,RANDOM,optseed3,36,0.0162055660730288
Facebook,RANDOM,optseed3,37,0.0162055660730288
Facebook,RANDOM,optseed3,38,0.0162055660730288
Facebook,RANDOM,optseed3,39,0.0162055660730288
Facebook,RANDOM,optseed3,40,0.0162055660730288
Facebook,RANDOM,optseed3,41,0.0162055660730288
Facebook,RANDOM,optseed3,42,0.0162055660730288
Facebook,RANDOM,optseed3,43,0.0162055660730288
Facebook,RANDOM,optseed3,44,0.0162055660730288
Facebook,RANDOM,optseed3,45,0.0162055660730288
Facebook,RANDOM,optseed3,46,0.0162055660730288
Facebook,RANDOM,optseed3,47,0.0162055660730288
Facebook,RANDOM,optseed3,48,0.0162055660730288
Facebook,RANDOM,optseed3,49,0.0162055660730288
Facebook,RANDOM,optseed3,50,0.0162055660730288
Facebook,RANDOM,optseed3,51,0.0162055660730288
Facebook,RANDOM,optseed3,52,0.0162055660730288
Facebook,RANDOM,optseed3,53,0.0162055660730288
Facebook,RANDOM,optseed3,54,0.0162055660730288
Facebook,RANDOM,optseed3,55,0.0162055660730288
Facebook,RANDOM,optseed3,56,0.0162055660730288
Facebook,RANDOM,optseed3,57,0.0162055660730288
Facebook,RANDOM,optseed3,58,0.0162055660730288
Facebook,RANDOM,optseed3,59,0.0162055660730288
Facebook,RANDOM,optseed3,60,0.0162055660730288
Facebook,RANDOM,optseed3,61,0.0162055660730288
Facebook,RANDOM,optseed3,62,0.0161244429059633
Facebook,RANDOM,optseed3,63,0.0161244429059633
Facebook,RANDOM,optseed3,64,0.0161244429059633
Facebook,RANDOM,optseed3,65,0.0161244429059633
Facebook,RANDOM,optseed3,66,0.0161244429059633
Facebook,RANDOM,optseed3,67,0.0161244429059633
Facebook,RANDOM,optseed3,68,0.0161244429059633
Facebook,RANDOM,optseed3,69,0.0161244429059633
Facebook,RANDOM,optseed3,70,0.0161244429059633
Facebook,RANDOM,optseed3,71,0.0161244429059633
Facebook,RANDOM,optseed3,72,0.0161244429059633
Facebook,RANDOM,optseed3,73,0.0161244429059633
Facebook,RANDOM,optseed3,74,0.0161244429059633
Facebook,RANDOM,optseed3,75,0.0161244429059633
Facebook,RANDOM,optseed3,76,0.0161244429059633
Facebook,RANDOM,optseed3,77,0.0161244429059633
Facebook,RANDOM,optseed3,78,0.0161244429059633
Facebook,RANDOM,optseed3,79,0.0161244429059633
Facebook,RANDOM,optseed3,80,0.0161244429059633
Facebook,RANDOM,optseed3,81,0.0161244429059633
Facebook,RANDOM,optseed3,82,0.0161244429059633
Facebook,RANDOM,optseed3,83,0.0161244429059633
Facebook,RANDOM,optseed3,84,0.0161244429059633
Facebook,RANDOM,optseed3,85,0.0161244429059633
Facebook,RANDOM,optseed3,86,0.0161244429059633
Facebook,RANDOM,optseed3,87,0.0161244429059633
Facebook,RANDOM,optseed3,88,0.0161244429059633
Facebook,RANDOM,optseed3,89,0.0161244429059633
Facebook,RANDOM,optseed3,90,0.0161244429059633
Facebook,RANDOM,optseed3,91,0.0161244429059633
Facebook,RANDOM,optseed3,92,0.0161244429059633
Facebook,RANDOM,optseed3,93,0.0161244429059633
Facebook,RANDOM,optseed3,94,0.0161244429059633
Facebook,RANDOM,optseed3,95,0.0161244429059633
Facebook,RANDOM,optseed3,96,0.0161244429059633
Facebook,RANDOM,optseed3,97,0.0161244429059633
Facebook,RANDOM,optseed3,98,0.0161244429059633
Facebook,RANDOM,optseed3,99,0.0161244429059633
Wiki-vote,CMAES,optseed1,0,0.0064792966403081
Wiki-vote,CMAES,optseed1,1,0.0064792966403081
Wiki-vote,CMAES,optseed1,2,0.0064792966403081
Wiki-vote,CMAES,optseed1,3,0.0064792966403081
Wiki-vote,CMAES,optseed1,4,0.0064792966403081
Wiki-vote,CMAES,optseed1,5,0.0064792966403081
Wiki-vote,CMAES,optseed1,6,0.0064025074076962
Wiki-vote,CMAES,optseed1,7,0.0064025074076962
Wiki-vote,CMAES,optseed1,8,0.0064025074076962
Wiki-vote,CMAES,optseed1,9,0.0064025074076962
Wiki-vote,CMAES,optseed1,10,0.0064025074076962
Wiki-vote,CMAES,optseed1,11,0.0062640449723383
Wiki-vote,CMAES,optseed1,12,0.0062640449723383
Wiki-vote,CMAES,optseed1,13,0.0062640449723383
Wiki-vote,CMAES,optseed1,14,0.0062640449723383
Wiki-vote,CMAES,optseed1,15,0.0062640449723383
Wiki-vote,CMAES,optseed1,16,0.0062640449723383
Wiki-vote,CMAES,optseed1,17,0.0062640449723383
Wiki-vote,CMAES,optseed1,18,0.0062640449723383
Wiki-vote,CMAES,optseed1,19,0.0062640449723383
Wiki-vote,CMAES,optseed1,20,0.0062640449723383
Wiki-vote,CMAES,optseed1,21,0.0062640449723383
Wiki-vote,CMAES,optseed1,22,0.0062640449723383
Wiki-vote,CMAES,optseed1,23,0.0062640449723383
Wiki-vote,CMAES,optseed1,24,0.0062640449723383
Wiki-vote,CMAES,optseed1,25,0.0062640449723383
Wiki-vote,CMAES,optseed1,26,0.0062640449723383
Wiki-vote,CMAES,optseed1,27,0.0062640449723383
Wiki-vote,CMAES,optseed1,28,0.0062640449723383
Wiki-vote,CMAES,optseed1,29,0.0062640449723383
Wiki-vote,CMAES,optseed1,30,0.0062640449723383
Wiki-vote,CMAES,optseed1,31,0.0062640449723383
Wiki-vote,CMAES,optseed1,32,0.0062640449723383
Wiki-vote,CMAES,optseed1,33,0.0062640449723383
Wiki-vote,CMAES,optseed1,34,0.0062640449723383
Wiki-vote,CMAES,optseed1,35,0.0062640449723383
Wiki-vote,CMAES,optseed1,36,0.0062640449723383
Wiki-vote,CMAES,optseed1,37,0.0062640449723383
Wiki-vote,CMAES,optseed1,38,0.0062640449723383
Wiki-vote,CMAES,optseed1,39,0.0062640449723383
Wiki-vote,CMAES,optseed1,40,0.0062640449723383
Wiki-vote,CMAES,optseed1,41,0.0062640449723383
Wiki-vote,CMAES,optseed1,42,0.0062640449723383
Wiki-vote,CMAES,optseed1,43,0.0062640449723383
Wiki-vote,CMAES,optseed1,44,0.0062640449723383
Wiki-vote,CMAES,optseed1,45,0.0062640449723383
Wiki-vote,CMAES,optseed1,46,0.0062640449723383
Wiki-vote,CMAES,optseed1,47,0.0062640449723383
Wiki-vote,CMAES,optseed1,48,0.0062640449723383
Wiki-vote,CMAES,optseed1,49,0.0062640449723383
Wiki-vote,CMAES,optseed1,50,0.0062640449723383
Wiki-vote,CMAES,optseed1,51,0.0062640449723383
Wiki-vote,CMAES,optseed1,52,0.0062640449723383
Wiki-vote,CMAES,optseed1,53,0.0062640449723383
Wiki-vote,CMAES,optseed1,54,0.0062579283634326
Wiki-vote,CMAES,optseed1,55,0.0062579283634326
Wiki-vote,CMAES,optseed1,56,0.0062545515037368
Wiki-vote,CMAES,optseed1,57,0.0062545515037368
Wiki-vote,CMAES,optseed1,58,0.0062545515037368
Wiki-vote,CMAES,optseed1,59,0.0062545515037368
Wiki-vote,CMAES,optseed1,60,0.0062545515037368
Wiki-vote,CMAES,optseed1,61,0.0062545515037368
Wiki-vote,CMAES,optseed1,62,0.0062545515037368
Wiki-vote,CMAES,optseed1,63,0.0062545515037368
Wiki-vote,CMAES,optseed1,64,0.0062545515037368
Wiki-vote,CMAES,optseed1,65,0.0062545515037368
Wiki-vote,CMAES,optseed1,66,0.0062545515037368
Wiki-vote,CMAES,optseed1,67,0.0062545515037368
Wiki-vote,CMAES,optseed1,68,0.0062545515037368
Wiki-vote,CMAES,optseed1,69,0.0062468075534627
Wiki-vote,CMAES,optseed1,70,0.0062468075534627
Wiki-vote,CMAES,optseed1,71,0.0062468075534627
Wiki-vote,CMAES,optseed1,72,0.0062358706271744
Wiki-vote,CMAES,optseed1,73,0.0062358706271744
Wiki-vote,CMAES,optseed1,74,0.0062358706271744
Wiki-vote,CMAES,optseed1,75,0.006222369977338
Wiki-vote,CMAES,optseed1,76,0.006222369977338
Wiki-vote,CMAES,optseed1,77,0.006222369977338
Wiki-vote,CMAES,optseed1,78,0.006222369977338
Wiki-vote,CMAES,optseed1,79,0.006222369977338
Wiki-vote,CMAES,optseed1,80,0.006222369977338
Wiki-vote,CMAES,optseed1,81,0.006222369977338
Wiki-vote,CMAES,optseed1,82,0.006222369977338
Wiki-vote,CMAES,optseed1,83,0.006222369977338
Wiki-vote,CMAES,optseed1,84,0.006222369977338
Wiki-vote,CMAES,optseed1,85,0.006222369977338
Wiki-vote,CMAES,optseed1,86,0.006222369977338
Wiki-vote,CMAES,optseed1,87,0.006222369977338
Wiki-vote,CMAES,optseed1,88,0.006222369977338
Wiki-vote,CMAES,optseed1,89,0.006222369977338
Wiki-vote,CMAES,optseed1,90,0.006222369977338
Wiki-vote,CMAES,optseed1,91,0.006222369977338
Wiki-vote,CMAES,optseed1,92,0.006222369977338
Wiki-vote,CMAES,optseed1,93,0.006222369977338
Wiki-vote,CMAES,optseed1,94,0.006222369977338
Wiki-vote,CMAES,optseed1,95,0.0062030457933705
Wiki-vote,CMAES,optseed1,96,0.0062030457933705
Wiki-vote,CMAES,optseed1,97,0.0062030457933705
Wiki-vote,CMAES,optseed1,98,0.0062030457933705
Wiki-vote,CMAES,optseed1,99,0.0062030457933705
Wiki-vote,CMAES,optseed2,0,0.0071805213169691
Wiki-vote,CMAES,optseed2,1,0.0068407061478305
Wiki-vote,CMAES,optseed2,2,0.0066008362341218
Wiki-vote,CMAES,optseed2,3,0.0066008362341218
Wiki-vote,CMAES,optseed2,4,0.0066008362341218
Wiki-vote,CMAES,optseed2,5,0.0063631729265716
Wiki-vote,CMAES,optseed2,6,0.0063631729265716
Wiki-vote,CMAES,optseed2,7,0.0063631729265716
Wiki-vote,CMAES,optseed2,8,0.0063631729265716
Wiki-vote,CMAES,optseed2,9,0.0063631729265716
Wiki-vote,CMAES,optseed2,10,0.0061942959880151
Wiki-vote,CMAES,optseed2,11,0.0061942959880151
Wiki-vote,CMAES,optseed2,12,0.0061942959880151
Wiki-vote,CMAES,optseed2,13,0.0061942959880151
Wiki-vote,CMAES,optseed2,14,0.0061942959880151
Wiki-vote,CMAES,optseed2,15,0.0061942959880151
Wiki-vote,CMAES,optseed2,16,0.0061942959880151
Wiki-vote,CMAES,optseed2,17,0.0061942959880151
Wiki-vote,CMAES,optseed2,18,0.0061942959880151
Wiki-vote,CMAES,optseed2,19,0.0061942959880151
Wiki-vote,CMAES,optseed2,20,0.0061942959880151
Wiki-vote,CMAES,optseed2,21,0.0061942959880151
Wiki-vote,CMAES,optseed2,22,0.0061942959880151
Wiki-vote,CMAES,optseed2,23,0.0061942959880151
Wiki-vote,CMAES,optseed2,24,0.0061942959880151
Wiki-vote,CMAES,optseed2,25,0.0061942959880151
Wiki-vote,CMAES,optseed2,26,0.0061942959880151
Wiki-vote,CMAES,optseed2,27,0.0061942959880151
Wiki-vote,CMAES,optseed2,28,0.0061942959880151
Wiki-vote,CMAES,optseed2,29,0.0061942959880151
Wiki-vote,CMAES,optseed2,30,0.0061942959880151
Wiki-vote,CMAES,optseed2,31,0.0061942959880151
Wiki-vote,CMAES,optseed2,32,0.0061942959880151
Wiki-vote,CMAES,optseed2,33,0.0061942959880151
Wiki-vote,CMAES,optseed2,34,0.0061942959880151
Wiki-vote,CMAES,optseed2,35,0.0061942959880151
Wiki-vote,CMAES,optseed2,36,0.0061942959880151
Wiki-vote,CMAES,optseed2,37,0.0061942959880151
Wiki-vote,CMAES,optseed2,38,0.0061942959880151
Wiki-vote,CMAES,optseed2,39,0.0061942959880151
Wiki-vote,CMAES,optseed2,40,0.0061942959880151
Wiki-vote,CMAES,optseed2,41,0.0061942959880151
Wiki-vote,CMAES,optseed2,42,0.0061942959880151
Wiki-vote,CMAES,optseed2,43,0.0061942959880151
Wiki-vote,CMAES,optseed2,44,0.0061942959880151
Wiki-vote,CMAES,optseed2,45,0.0061942959880151
Wiki-vote,CMAES,optseed2,46,0.0061942959880151
Wiki-vote,CMAES,optseed2,47,0.0061942959880151
Wiki-vote,CMAES,optseed2,48,0.0061942959880151
Wiki-vote,CMAES,optseed2,49,0.0061942959880151
Wiki-vote,CMAES,optseed2,50,0.0061942959880151
Wiki-vote,CMAES,optseed2,51,0.0061942959880151
Wiki-vote,CMAES,optseed2,52,0.0061942959880151
Wiki-vote,CMAES,optseed2,53,0.0061942959880151
Wiki-vote,CMAES,optseed2,54,0.0061942959880151
Wiki-vote,CMAES,optseed2,55,0.0061942959880151
Wiki-vote,CMAES,optseed2,56,0.0061942959880151
Wiki-vote,CMAES,optseed2,57,0.0061942959880151
Wiki-vote,CMAES,optseed2,58,0.0061942959880151
Wiki-vote,CMAES,optseed2,59,0.0061942959880151
Wiki-vote,CMAES,optseed2,60,0.0061942959880151
Wiki-vote,CMAES,optseed2,61,0.0061942959880151
Wiki-vote,CMAES,optseed2,62,0.0061942959880151
Wiki-vote,CMAES,optseed2,63,0.0061942959880151
Wiki-vote,CMAES,optseed2,64,0.0061942959880151
Wiki-vote,CMAES,optseed2,65,0.0061942959880151
Wiki-vote,CMAES,optseed2,66,0.0061942959880151
Wiki-vote,CMAES,optseed2,67,0.0061942959880151
Wiki-vote,CMAES,optseed2,68,0.0061942959880151
Wiki-vote,CMAES,optseed2,69,0.0061942959880151
Wiki-vote,CMAES,optseed2,70,0.0061942959880151
Wiki-vote,CMAES,optseed2,71,0.0061942959880151
Wiki-vote,CMAES,optseed2,72,0.0061942959880151
Wiki-vote,CMAES,optseed2,73,0.0061942959880151
Wiki-vote,CMAES,optseed2,74,0.0061942959880151
Wiki-vote,CMAES,optseed2,75,0.0061942959880151
Wiki-vote,CMAES,optseed2,76,0.0061942959880151
Wiki-vote,CMAES,optseed2,77,0.0061942959880151
Wiki-vote,CMAES,optseed2,78,0.0061942959880151
Wiki-vote,CMAES,optseed2,79,0.0061942959880151
Wiki-vote,CMAES,optseed2,80,0.0061942959880151
Wiki-vote,CMAES,optseed2,81,0.0061942959880151
Wiki-vote,CMAES,optseed2,82,0.0061942959880151
Wiki-vote,CMAES,optseed2,83,0.0061942959880151
Wiki-vote,CMAES,optseed2,84,0.0061942959880151
Wiki-vote,CMAES,optseed2,85,0.0061942959880151
Wiki-vote,CMAES,optseed2,86,0.0061942959880151
Wiki-vote,CMAES,optseed2,87,0.0061942959880151
Wiki-vote,CMAES,optseed2,88,0.0061942959880151
Wiki-vote,CMAES,optseed2,89,0.0061942959880151
Wiki-vote,CMAES,optseed2,90,0.0061942959880151
Wiki-vote,CMAES,optseed2,91,0.0061942959880151
Wiki-vote,CMAES,optseed2,92,0.0061942959880151
Wiki-vote,CMAES,optseed2,93,0.0061942959880151
Wiki-vote,CMAES,optseed2,94,0.0061942959880151
Wiki-vote,CMAES,optseed2,95,0.0061942959880151
Wiki-vote,CMAES,optseed2,96,0.0061942959880151
Wiki-vote,CMAES,optseed2,97,0.0061942959880151
Wiki-vote,CMAES,optseed2,98,0.0061942959880151
Wiki-vote,CMAES,optseed2,99,0.0061942959880151
Wiki-vote,CMAES,optseed3,0,0.0062713005944269
Wiki-vote,CMAES,optseed3,1,0.0062713005944269
Wiki-vote,CMAES,optseed3,2,0.0062713005944269
Wiki-vote,CMAES,optseed3,3,0.0062713005944269
Wiki-vote,CMAES,optseed3,4,0.0062713005944269
Wiki-vote,CMAES,optseed3,5,0.0062713005944269
Wiki-vote,CMAES,optseed3,6,0.0062713005944269
Wiki-vote,CMAES,optseed3,7,0.0062713005944269
Wiki-vote,CMAES,optseed3,8,0.0062713005944269
Wiki-vote,CMAES,optseed3,9,0.0062713005944269
Wiki-vote,CMAES,optseed3,10,0.0062713005944269
Wiki-vote,CMAES,optseed3,11,0.0062713005944269
Wiki-vote,CMAES,optseed3,12,0.0062713005944269
Wiki-vote,CMAES,optseed3,13,0.0062713005944269
Wiki-vote,CMAES,optseed3,14,0.0062713005944269
Wiki-vote,CMAES,optseed3,15,0.0062713005944269
Wiki-vote,CMAES,optseed3,16,0.0062713005944269
Wiki-vote,CMAES,optseed3,17,0.0062713005944269
Wiki-vote,CMAES,optseed3,18,0.0062713005944269
Wiki-vote,CMAES,optseed3,19,0.006253457441345
Wiki-vote,CMAES,optseed3,20,0.006253457441345
Wiki-vote,CMAES,optseed3,21,0.006253457441345
Wiki-vote,CMAES,optseed3,22,0.006253457441345
Wiki-vote,CMAES,optseed3,23,0.006253457441345
Wiki-vote,CMAES,optseed3,24,0.006253457441345
Wiki-vote,CMAES,optseed3,25,0.006253457441345
Wiki-vote,CMAES,optseed3,26,0.006253457441345
Wiki-vote,CMAES,optseed3,27,0.006253457441345
Wiki-vote,CMAES,optseed3,28,0.006253457441345
Wiki-vote,CMAES,optseed3,29,0.006253457441345
Wiki-vote,CMAES,optseed3,30,0.006253457441345
Wiki-vote,CMAES,optseed3,31,0.006253457441345
Wiki-vote,CMAES,optseed3,32,0.006253457441345
Wiki-vote,CMAES,optseed3,33,0.006253457441345
Wiki-vote,CMAES,optseed3,34,0.006253457441345
Wiki-vote,CMAES,optseed3,35,0.006253457441345
Wiki-vote,CMAES,optseed3,36,0.006253457441345
Wiki-vote,CMAES,optseed3,37,0.006253457441345
Wiki-vote,CMAES,optseed3,38,0.006253457441345
Wiki-vote,CMAES,optseed3,39,0.006253457441345
Wiki-vote,CMAES,optseed3,40,0.006253457441345
Wiki-vote,CMAES,optseed3,41,0.0062131986428378
Wiki-vote,CMAES,optseed3,42,0.0062131986428378
Wiki-vote,CMAES,optseed3,43,0.0062131986428378
Wiki-vote,CMAES,optseed3,44,0.0062131986428378
Wiki-vote,CMAES,optseed3,45,0.0062131986428378
Wiki-vote,CMAES,optseed3,46,0.0062131986428378
Wiki-vote,CMAES,optseed3,47,0.0062131986428378
Wiki-vote,CMAES,optseed3,48,0.0062131986428378
Wiki-vote,CMAES,optseed3,49,0.0062131986428378
Wiki-vote,CMAES,optseed3,50,0.0062131986428378
Wiki-vote,CMAES,optseed3,51,0.0062131986428378
Wiki-vote,CMAES,optseed3,52,0.0062131986428378
Wiki-vote,CMAES,optseed3,53,0.0062131986428378
Wiki-vote,CMAES,optseed3,54,0.0062131986428378
Wiki-vote,CMAES,optseed3,55,0.0062131986428378
Wiki-vote,CMAES,optseed3,56,0.0062131986428378
Wiki-vote,CMAES,optseed3,57,0.0062131986428378
Wiki-vote,CMAES,optseed3,58,0.0062131986428378
Wiki-vote,CMAES,optseed3,59,0.0062131986428378
Wiki-vote,CMAES,optseed3,60,0.0062131986428378
Wiki-vote,CMAES,optseed3,61,0.0062131986428378
Wiki-vote,CMAES,optseed3,62,0.0062131986428378
Wiki-vote,CMAES,optseed3,63,0.0062131986428378
Wiki-vote,CMAES,optseed3,64,0.0062131986428378
Wiki-vote,CMAES,optseed3,65,0.0062131986428378
Wiki-vote,CMAES,optseed3,66,0.0062131986428378
Wiki-vote,CMAES,optseed3,67,0.0062131986428378
Wiki-vote,CMAES,optseed3,68,0.0062131986428378
Wiki-vote,CMAES,optseed3,69,0.0062131986428378
Wiki-vote,CMAES,optseed3,70,0.0062131986428378
Wiki-vote,CMAES,optseed3,71,0.0062131986428378
Wiki-vote,CMAES,optseed3,72,0.0062131986428378
Wiki-vote,CMAES,optseed3,73,0.0062131986428378
Wiki-vote,CMAES,optseed3,74,0.0062131986428378
Wiki-vote,CMAES,optseed3,75,0.0062131986428378
Wiki-vote,CMAES,optseed3,76,0.0062131986428378
Wiki-vote,CMAES,optseed3,77,0.0062131986428378
Wiki-vote,CMAES,optseed3,78,0.0062131986428378
Wiki-vote,CMAES,optseed3,79,0.0062131986428378
Wiki-vote,CMAES,optseed3,80,0.0062131986428378
Wiki-vote,CMAES,optseed3,81,0.0062131986428378
Wiki-vote,CMAES,optseed3,82,0.0062131986428378
Wiki-vote,CMAES,optseed3,83,0.0062131986428378
Wiki-vote,CMAES,optseed3,84,0.0062131986428378
Wiki-vote,CMAES,optseed3,85,0.0062131986428378
Wiki-vote,CMAES,optseed3,86,0.0062131986428378
Wiki-vote,CMAES,optseed3,87,0.0062131986428378
Wiki-vote,CMAES,optseed3,88,0.0062131986428378
Wiki-vote,CMAES,optseed3,89,0.0062131986428378
Wiki-vote,CMAES,optseed3,90,0.0062131986428378
Wiki-vote,CMAES,optseed3,91,0.0062131986428378
Wiki-vote,CMAES,optseed3,92,0.0062131986428378
Wiki-vote,CMAES,optseed3,93,0.0062131986428378
Wiki-vote,CMAES,optseed3,94,0.0062131986428378
Wiki-vote,CMAES,optseed3,95,0.0062131986428378
Wiki-vote,CMAES,optseed3,96,0.0062131986428378
Wiki-vote,CMAES,optseed3,97,0.0062131986428378
Wiki-vote,CMAES,optseed3,98,0.0062100860755703
Wiki-vote,CMAES,optseed3,99,0.0062100860755703
Wiki-vote,GA,optseed1,0,0.0070427455333442
Wiki-vote,GA,optseed1,1,0.0064361573848744
Wiki-vote,GA,optseed1,2,0.0064361573848744
