network,pool,node_count,target_largest_comm_ratio,largest_comm_ratio,largest_comm_ratio_abs_error,target_communities_touched,communities_touched,target_degree_mean,degree_mean,degree_median,target_external_ratio_mean,external_ratio_mean,external_ratio_median,external_ratio_abs_error,external_degree_mean,target_participation_mean,participation_mean,participation_abs_error,target_betweenness_mean,betweenness_mean,anchor_community,anchor_count
lfr_mu01_seed1,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,38.33,33.5,0.008945361536991775,0.0023214570442344658,0.0,0.006623904492757309,0.155,0.015980263566967183,0.0045451046320321604,0.011435158934935023,0.0003469484564224111,0.001477164813178983,3,84
lfr_mu01_seed1,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,34.86,32.0,0.03338103645201027,0.011088535594904126,0.0,0.022292500857106146,0.37,0.050070437338916265,0.021449561827620527,0.02862087551129574,0.0010670406555004907,0.0018752358512420502,7,122
lfr_mu01_seed1,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,38.945,33.5,0.018996130078641007,0.0020186611400710096,0.0,0.01697746893857,0.135,0.03358107968398146,0.003958388464914561,0.0296226912190669,4.668335410379051e-05,0.0011907347736084847,4,105
lfr_mu01_seed2,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,38.115,34.0,0.008945361536991775,0.0022183602333213305,0.0,0.0067270013036704445,0.105,0.015980263566967183,0.004325994319004183,0.011654269247963,0.0003469484564224111,0.0008534981782514816,1,84
lfr_mu01_seed2,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,32.475,30.0,0.03338103645201027,0.009082455148266515,0.0,0.02429858130374376,0.295,0.050070437338916265,0.01754697955913457,0.032523457779781696,0.0010670406555004907,0.001854724233369466,2,122
lfr_mu01_seed2,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,33.68,33.5,0.018996130078641007,0.0028516362721595213,0.0,0.016144493806481485,0.105,0.03358107968398146,0.005545084561736735,0.028035995122244726,4.668335410379051e-05,0.000625516154666109,4,105
lfr_mu01_seed3,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,36.985,35.0,0.008945361536991775,0.001959719986654199,0.0,0.006985641550337576,0.105,0.015980263566967183,0.0038279919830813487,0.012152271583885835,0.0003469484564224111,0.0008253633985359586,1,84
lfr_mu01_seed3,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,37.26,32.0,0.03338103645201027,0.012629575872949696,0.0,0.020751460579060577,0.445,0.050070437338916265,0.024459473783219315,0.02561096355569695,0.0010670406555004907,0.002457878370490882,6,122
lfr_mu01_seed3,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,34.185,28.0,0.018996130078641007,0.0027579316195033587,0.0,0.016238198459137647,0.135,0.03358107968398146,0.005369641245658281,0.02821143843832318,4.668335410379051e-05,0.0011748953067872723,10,105
