network,pool,node_count,target_largest_comm_ratio,largest_comm_ratio,largest_comm_ratio_abs_error,target_communities_touched,communities_touched,target_degree_mean,degree_mean,degree_median,target_external_ratio_mean,external_ratio_mean,external_ratio_median,external_ratio_abs_error,external_degree_mean,target_participation_mean,participation_mean,participation_abs_error,target_betweenness_mean,betweenness_mean,anchor_community,anchor_count
lfr_mu02_seed4,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,32.135,30.0,0.008945361536991775,0.008205732088650212,0.0,0.0007396294483415621,0.335,0.015980263566967183,0.01591728820138307,6.297536558411143e-05,0.0003469484564224111,0.0008283316970011934,3,84
lfr_mu02_seed4,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,33.615,31.0,0.03338103645201027,0.0290372126823475,0.03125,0.004343823769662771,0.965,0.050070437338916265,0.05596234838727881,0.005891911048362543,0.0010670406555004907,0.0014610338044193105,0,122
lfr_mu02_seed4,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,33.99,31.0,0.018996130078641007,0.018998219520392535,0.023128342245989305,2.089441751527976e-06,0.695,0.03358107968398146,0.036783525820057575,0.0032024461360761133,4.668335410379051e-05,0.0013350076627788854,7,105
lfr_mu02_seed5,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,38.415,30.0,0.008945361536991775,0.010570708111756477,0.0,0.0016253465747647026,0.535,0.015980263566967183,0.02043615200999669,0.004455888443029507,0.0003469484564224111,0.0010598105084019293,10,84
lfr_mu02_seed5,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,35.89,31.0,0.03338103645201027,0.02703522519333219,0.03125,0.006345811258678082,0.96,0.050070437338916265,0.05214024107427294,0.0020698037353566734,0.0010670406555004907,0.001442732211765654,7,122
lfr_mu02_seed5,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,35.35,33.0,0.018996130078641007,0.01777914999433895,0.022222222222222223,0.0012169800843020578,0.67,0.03358107968398146,0.034464239933065376,0.0008831602490839141,4.668335410379051e-05,0.0010249681372630451,0,105
lfr_mu02_seed6,top20,200,0.4207920792079208,0.42,0.0007920792079207928,7,7,36.82920792079208,33.93,30.0,0.008945361536991775,0.01012729332807443,0.0,0.001181931791082655,0.44,0.015980263566967183,0.019648218812203643,0.00366795524523646,0.0003469484564224111,0.0006849906653634363,0,84
lfr_mu02_seed6,middle20,200,0.6101485148514851,0.61,0.00014851485148514865,10,10,30.85891089108911,45.185,35.0,0.03338103645201027,0.02751989919061147,0.029411764705882353,0.005861137261398801,1.17,0.050070437338916265,0.053193496079752975,0.0031230587408367094,0.0010670406555004907,0.0020202724579698166,1,122
lfr_mu02_seed6,bottom20,200,0.525990099009901,0.525,0.000990099009900991,5,5,33.95173267326733,36.155,31.0,0.018996130078641007,0.01802891818103934,0.018867924528301886,0.0009672118976016657,0.725,0.03358107968398146,0.0348686895192394,0.0012876098352579413,4.668335410379051e-05,0.0011438217584212446,7,105
